region,GEOID,density,housing_units,ov_fire_n,hifld_fire_n,poi_gap_fire
northern-ca,06035040100,0.1092482475296993,833,0,6,1.0
south-central-tx,48173950100,0.2191565039546691,513,0,2,1.0
south-central-tx,48235950100,0.2821953919343921,771,0,2,1.0
northern-ca,06093001300,0.3413930191017933,1277,0,6,1.0
northern-ca,06049000200,0.352663560439202,874,0,4,1.0
south-central-tx,48307950500,0.49593129243791,876,0,4,1.0
northern-ca,06093000800,0.5124481591494068,1649,0,7,1.0
south-central-tx,48095950300,0.5477091688370074,1414,0,3,1.0
maricopa-az,04017940100,0.6228457027637285,1421,0,2,1.0
northern-ca,06103000300,0.6384125487865808,2132,0,6,1.0
northern-ca,06045010100,0.6420275246613233,1296,0,2,1.0
south-central-tx,48237950100,0.6813335856503827,1009,0,3,1.0
eastern-ok,40151954400,0.8205393177037709,978,0,2,1.0
eastern-ok,40149965400,0.8400202868050558,797,0,2,1.0
northern-ca,06103000100,0.8406186566074818,2526,0,5,1.0
northern-ca,06011000302,0.8637554576234892,733,0,2,1.0
eastern-ok,40065968300,0.8715036159096718,912,0,3,1.0
south-central-tx,48227950100,0.9460536099056154,979,0,2,1.0
eastern-ok,40055967100,1.009462846929425,872,0,4,1.0
eastern-ok,40151954202,1.0158046888166383,792,0,2,1.0
